Node,Degree,Num_Chromosome_Nodes,Num_Nonchromosome_Nodes,Chromosome_Nodes,Nonchromosome_Nodes,Unconnected_Nonchromosome_Nodes
Bgd_Ar.350.MeV.n_8,84,70,14,"X1.106729520, X1.125491750, X1.125527931, X1.14589546, X1.188051568, X1.52472062, X10.101680788, X11.111752788, X11.29545002, X11.35282604, X11.65104565, X11.72678672, X11.89717074, X12.113883619, X12.46115764, X12.58594119, X13.39979535, X14.102808854, X14.107994347, X14.14739962, X14.48553214, X15.22798365, X15.57835483, X15.75750109, X15.87687859, X16.42296668, X17.43251322, X17.48487592, X18.84264931, X18.84574117, X19.28816983, X19.35823792, X19.61012985, X2.120332584, X2.143804014, X2.156938080, X2.169384987, X2.179252771, X2.71507999, X2.7685376, X21.73353417, X21.98991650, X3.128520107, X3.132404356, X3.44232015, X3.57567476, X3.8973984, X4.107621608, X4.145052114, X4.54970808, X4.84852632, X5.39076165, X5.49852963, X6.107382038, X6.129932744, X6.35349370, X6.77212762, X7.106674593, X7.111783510, X7.133996942, X7.17022025, X7.37333012, X7.39743481, X7.55899521, X7.96463305, X8.75159575, X9.72766774, X9.75916734, X9.87722963, X9.94131153","Bgd_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_48, FociPerGy_X.ray_24, FociPerGy_X.ray_48","FociPerGy_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_48, Bgd_X.ray_4, FociPerGy_X.ray_4, Bgd_X.ray_24, Bgd_X.ray_48"
FociPerGy_Ar.350.MeV.n_8,86,74,12,"X1.106729520, X1.125491750, X1.125527931, X1.14589546, X1.188051568, X1.37706705, X1.52472062, X10.101680788, X11.111752788, X11.35282604, X11.76607143, X12.113883619, X12.46115764, X12.58594119, X14.102808854, X14.107994347, X14.48553214, X15.101282904, X15.22798365, X15.46986754, X15.57835483, X15.75750109, X15.87687859, X15.90137744, X16.27700358, X16.42296668, X17.43251322, X17.48487592, X17.53465831, X18.82797901, X18.84264931, X18.84574117, X19.28816983, X19.35823792, X2.143804014, X2.156938080, X2.179252771, X2.35023959, X2.71507999, X2.7685376, X21.73353417, X21.98991650, X3.128520107, X3.132404356, X3.135259825, X3.138906032, X3.30112136, X3.57567476, X3.8973984, X4.145052114, X4.54970808, X4.84852632, X5.39076165, X5.70537896, X5.90299294, X6.107382038, X6.42782257, X6.77212762, X6.86286482, X7.106674593, X7.133996942, X7.37333012, X7.96463305, X8.111942169, X8.114055486, X8.45043434, X8.60115231, X8.75159575, X9.33592093, X9.45409057, X9.75916734, X9.78872401, X9.87722963, X9.94131153","Bgd_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_24, Bgd_Fe.600.MeV.n_4, FociPerGy_Fe.600.MeV.n_8","FociPerGy_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_48, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, FociPerGy_Fe.600.MeV.n_48, Bgd_X.ray_4, FociPerGy_X.ray_4, Bgd_X.ray_24, FociPerGy_X.ray_24, Bgd_X.ray_48, FociPerGy_X.ray_48"
Bgd_Ar.350.MeV.n_24,85,66,19,"X1.106729520, X1.125491750, X1.125527931, X1.52472062, X10.101680788, X11.35282604, X11.65104565, X11.72678672, X11.76607143, X12.113883619, X12.58594119, X13.39979535, X14.14739962, X14.48553214, X15.101084687, X15.101282904, X15.22798365, X15.46986754, X15.75750109, X15.87687859, X15.90137744, X16.27700358, X16.42296668, X16.56920652, X16.57520520, X17.43251322, X17.48487592, X18.82797901, X18.84264931, X18.84574117, X19.35823792, X19.61012985, X2.120332584, X2.143804014, X2.169384987, X2.179252771, X2.7685376, X21.73353417, X21.98991650, X3.128520107, X3.132404356, X3.135259825, X3.138906032, X3.30112136, X3.44232015, X3.8973984, X4.107621608, X4.109110491, X4.23295512, X4.84852632, X5.49852963, X5.70537896, X6.107382038, X6.35349370, X7.111783510, X7.133996942, X7.17022025, X7.37333012, X7.55899521, X7.96463305, X8.111942169, X8.60115231, X8.75159575, X9.72766774, X9.87722963, X9.94131153","FociPerGy_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, FociPerGy_Si.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_24, Bgd_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, Bgd_X.ray_24, Bgd_X.ray_48","Bgd_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_24, Bgd_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_48, FociPerGy_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_48, Bgd_X.ray_4, FociPerGy_X.ray_4, FociPerGy_X.ray_24, FociPerGy_X.ray_48"
FociPerGy_Ar.350.MeV.n_24,90,73,17,"X1.106729520, X1.124618790, X1.125491750, X1.125527931, X1.14589546, X1.37706705, X1.52472062, X10.101680788, X11.111752788, X11.29545002, X11.35282604, X11.72678672, X11.76607143, X12.113883619, X12.46115764, X13.39979535, X14.107994347, X14.14739962, X15.101282904, X15.22798365, X15.57835483, X15.87687859, X15.90137744, X16.42296668, X16.56920652, X16.57520520, X17.48487592, X17.53465831, X18.82797901, X18.84574117, X19.28816983, X19.35823792, X19.61012985, X2.120332584, X2.143804014, X2.156938080, X2.179252771, X2.71507999, X2.7685376, X21.98991650, X3.132404356, X3.135259825, X3.30112136, X3.8973984, X4.107621608, X4.109110491, X4.145052114, X4.23295512, X4.54970808, X5.39076165, X5.49852963, X5.70537896, X5.90299294, X6.107382038, X6.35349370, X6.42782257, X6.77212762, X6.86286482, X7.106674593, X7.111783510, X7.133996942, X7.17022025, X7.39743481, X7.55899521, X8.114055486, X8.45043434, X8.60115231, X8.75159575, X9.45409057, X9.72766774, X9.75916734, X9.87722963, X9.94131153","FociPerGy_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_48, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, Bgd_X.ray_4, FociPerGy_X.ray_4, Bgd_X.ray_24, FociPerGy_X.ray_24, Bgd_X.ray_48","Bgd_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_4, FociPerGy_Ar.350.MeV.n_24, Bgd_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, FociPerGy_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_48, FociPerGy_X.ray_48"
Bgd_Ar.350.MeV.n_48,84,70,14,"X1.106729520, X1.125491750, X1.125527931, X1.14589546, X1.188051568, X1.52472062, X11.65104565, X11.89717074, X12.113883619, X12.46115764, X13.39979535, X14.102808854, X14.107994347, X14.14739962, X14.48553214, X15.101084687, X15.22798365, X15.46986754, X15.57835483, X15.75750109, X16.27700358, X16.42296668, X16.56920652, X16.57520520, X17.43251322, X17.48487592, X18.82797901, X18.84264931, X18.84574117, X19.28816983, X19.61012985, X2.156938080, X2.169384987, X2.35023959, X2.7685376, X21.73353417, X21.98991650, X3.128520107, X3.138906032, X3.57567476, X3.8973984, X4.107621608, X4.109110491, X4.145052114, X4.23295512, X4.54970808, X4.84852632, X5.39076165, X5.49852963, X5.70537896, X6.107382038, X6.129932744, X6.42782257, X6.77212762, X7.106674593, X7.111783510, X7.133996942, X7.17022025, X7.37333012, X7.39743481, X7.55899521, X7.96463305, X8.60115231, X8.75159575, X9.33592093, X9.45409057, X9.72766774, X9.75916734, X9.78872401, X9.87722963","FociPerGy_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, FociPerGy_Fe.600.MeV.n_4, FociPerGy_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, FociPerGy_Fe.600.MeV.n_48, FociPerGy_X.ray_4, FociPerGy_X.ray_24","Bgd_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_24, Bgd_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_24, Bgd_X.ray_4, Bgd_X.ray_24, Bgd_X.ray_48, FociPerGy_X.ray_48"
FociPerGy_Ar.350.MeV.n_48,84,67,17,"X1.106729520, X1.125491750, X1.125527931, X1.188051568, X1.37706705, X11.111752788, X11.35282604, X11.72678672, X11.76607143, X11.89717074, X12.46115764, X13.39979535, X14.102808854, X14.14739962, X14.48553214, X15.101084687, X15.22798365, X15.46986754, X16.27700358, X16.42296668, X17.48487592, X17.53465831, X18.84264931, X18.84574117, X19.28816983, X19.35823792, X19.61012985, X2.143804014, X2.169384987, X2.179252771, X2.35023959, X21.73353417, X21.98991650, X3.135259825, X3.138906032, X3.30112136, X3.57567476, X3.8973984, X4.109110491, X4.145052114, X4.54970808, X4.84852632, X5.39076165, X5.49852963, X5.70537896, X5.90299294, X6.107382038, X6.108152079, X6.129932744, X6.35349370, X6.77212762, X6.86286482, X7.106674593, X7.111783510, X7.133996942, X7.37333012, X7.55899521, X7.96463305, X8.114055486, X8.45043434, X9.33592093, X9.45409057, X9.72766774, X9.75916734, X9.78872401, X9.87722963, X9.94131153","Bgd_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_24, Bgd_Ar.350.MeV.n_48, FociPerGy_Fe.600.MeV.n_4, FociPerGy_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_24, Bgd_X.ray_4, FociPerGy_X.ray_4, FociPerGy_X.ray_24, FociPerGy_X.ray_48","Bgd_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, FociPerGy_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_48, FociPerGy_Fe.600.MeV.n_48, Bgd_X.ray_24, Bgd_X.ray_48"
Bgd_Fe.600.MeV.n_4,81,69,12,"X1.106729520, X1.124618790, X1.125491750, X1.125527931, X1.14589546, X1.188051568, X1.37706705, X1.52472062, X10.101680788, X11.111752788, X11.35282604, X11.65104565, X11.72678672, X12.113883619, X13.39979535, X14.102808854, X14.14739962, X15.101084687, X15.101282904, X15.75750109, X15.90137744, X16.27700358, X16.42296668, X16.56920652, X16.57520520, X17.43251322, X17.53465831, X18.82797901, X19.61012985, X2.156938080, X2.169384987, X2.179252771, X2.35023959, X2.71507999, X2.7685376, X21.73353417, X21.98991650, X3.128520107, X3.132404356, X3.135259825, X3.138906032, X3.30112136, X3.57567476, X3.8973984, X4.107621608, X4.109110491, X4.23295512, X4.54970808, X5.39076165, X5.70537896, X6.107382038, X6.108152079, X6.77212762, X6.86286482, X7.111783510, X7.133996942, X7.17022025, X7.37333012, X7.39743481, X7.55899521, X7.96463305, X8.45043434, X8.75159575, X9.33592093, X9.72766774, X9.75916734, X9.78872401, X9.87722963, X9.94131153","Bgd_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_4, FociPerGy_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_24, Bgd_Ar.350.MeV.n_48, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_24, Bgd_X.ray_24, FociPerGy_X.ray_48","Bgd_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, FociPerGy_Fe.600.MeV.n_48, Bgd_X.ray_4, FociPerGy_X.ray_4, FociPerGy_X.ray_24, Bgd_X.ray_48"
FociPerGy_Fe.600.MeV.n_4,76,54,22,"X1.124618790, X1.125491750, X1.125527931, X1.14589546, X11.29545002, X11.76607143, X11.89717074, X12.58594119, X13.39979535, X14.102808854, X15.101282904, X15.46986754, X15.87687859, X15.90137744, X16.27700358, X16.56920652, X16.57520520, X18.84264931, X19.35823792, X19.61012985, X2.120332584, X2.169384987, X2.7685376, X3.128520107, X3.132404356, X3.135259825, X3.30112136, X3.44232015, X3.57567476, X4.109110491, X4.145052114, X4.23295512, X4.54970808, X4.84852632, X5.39076165, X5.49852963, X6.107382038, X6.86286482, X7.106674593, X7.111783510, X7.133996942, X7.17022025, X7.37333012, X7.96463305, X8.111942169, X8.114055486, X8.45043434, X8.60115231, X9.45409057, X9.72766774, X9.75916734, X9.78872401, X9.87722963, X9.94131153","FociPerGy_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_24, Bgd_Ar.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, FociPerGy_Fe.600.MeV.n_48, Bgd_X.ray_4, FociPerGy_X.ray_4, Bgd_X.ray_24, FociPerGy_X.ray_24, FociPerGy_X.ray_48","Bgd_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_8, FociPerGy_Fe.600.MeV.n_4, Bgd_X.ray_48"
Bgd_Fe.600.MeV.n_8,86,70,16,"X1.124618790, X1.188051568, X1.52472062, X10.101680788, X11.111752788, X11.35282604, X11.65104565, X11.72678672, X11.76607143, X11.89717074, X12.113883619, X12.46115764, X12.58594119, X13.39979535, X14.102808854, X14.107994347, X14.14739962, X15.101084687, X15.22798365, X15.46986754, X15.57835483, X15.90137744, X16.42296668, X16.56920652, X16.57520520, X17.43251322, X17.48487592, X18.82797901, X18.84264931, X18.84574117, X19.28816983, X19.35823792, X2.143804014, X2.156938080, X2.179252771, X2.71507999, X2.7685376, X21.73353417, X21.98991650, X3.135259825, X3.138906032, X3.30112136, X3.44232015, X3.57567476, X4.107621608, X4.109110491, X4.145052114, X4.23295512, X4.54970808, X4.84852632, X5.49852963, X5.70537896, X5.90299294, X6.107382038, X6.108152079, X6.86286482, X7.111783510, X7.17022025, X7.39743481, X7.55899521, X7.96463305, X8.111942169, X8.114055486, X8.45043434, X8.60115231, X9.45409057, X9.72766774, X9.75916734, X9.78872401, X9.87722963","FociPerGy_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_24, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, FociPerGy_Fe.600.MeV.n_48, Bgd_X.ray_4, Bgd_X.ray_24, Bgd_X.ray_48","Bgd_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, FociPerGy_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_8, FociPerGy_X.ray_4, FociPerGy_X.ray_24, FociPerGy_X.ray_48"
FociPerGy_Fe.600.MeV.n_8,80,59,21,"X1.125527931, X1.188051568, X1.37706705, X1.52472062, X10.101680788, X11.111752788, X11.29545002, X11.35282604, X11.65104565, X11.76607143, X11.89717074, X12.58594119, X14.102808854, X14.14739962, X14.48553214, X15.101084687, X15.101282904, X15.22798365, X15.75750109, X15.87687859, X15.90137744, X17.43251322, X17.53465831, X18.82797901, X18.84574117, X19.28816983, X19.35823792, X2.169384987, X2.35023959, X2.71507999, X2.7685376, X21.73353417, X21.98991650, X3.132404356, X3.138906032, X3.30112136, X3.44232015, X3.57567476, X3.8973984, X4.109110491, X4.145052114, X4.54970808, X5.49852963, X5.70537896, X5.90299294, X6.107382038, X6.35349370, X6.77212762, X6.86286482, X7.106674593, X7.133996942, X7.17022025, X7.37333012, X7.39743481, X7.96463305, X8.75159575, X9.75916734, X9.78872401, X9.94131153","Bgd_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_24, Bgd_Ar.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_48, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, FociPerGy_Fe.600.MeV.n_48, FociPerGy_X.ray_4, FociPerGy_X.ray_24, FociPerGy_X.ray_48","Bgd_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_24, Bgd_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_8, Bgd_X.ray_4, Bgd_X.ray_24, Bgd_X.ray_48"
Bgd_Fe.600.MeV.n_24,85,67,18,"X1.125527931, X1.14589546, X1.188051568, X1.52472062, X10.101680788, X11.111752788, X11.35282604, X11.65104565, X11.89717074, X12.46115764, X12.58594119, X14.102808854, X14.107994347, X14.14739962, X14.48553214, X15.101084687, X15.101282904, X15.46986754, X15.87687859, X15.90137744, X16.42296668, X16.56920652, X16.57520520, X17.43251322, X17.53465831, X18.82797901, X18.84264931, X19.35823792, X19.61012985, X2.143804014, X2.156938080, X2.169384987, X2.179252771, X2.35023959, X2.71507999, X2.7685376, X21.73353417, X21.98991650, X3.128520107, X3.132404356, X3.138906032, X3.44232015, X3.57567476, X4.109110491, X4.145052114, X4.54970808, X4.84852632, X5.39076165, X5.70537896, X5.90299294, X6.107382038, X6.108152079, X6.35349370, X6.42782257, X6.86286482, X7.106674593, X7.111783510, X7.37333012, X7.55899521, X8.111942169, X8.45043434, X8.60115231, X8.75159575, X9.33592093, X9.45409057, X9.87722963, X9.94131153","Bgd_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_4, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, FociPerGy_Fe.600.MeV.n_48, Bgd_X.ray_4, FociPerGy_X.ray_4, FociPerGy_X.ray_24, Bgd_X.ray_48, FociPerGy_X.ray_48","Bgd_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_24, Bgd_X.ray_24"
FociPerGy_Fe.600.MeV.n_24,61,44,17,"X1.14589546, X1.188051568, X11.29545002, X11.35282604, X11.65104565, X12.58594119, X14.102808854, X14.14739962, X14.48553214, X15.101084687, X15.75750109, X15.87687859, X15.90137744, X16.27700358, X17.43251322, X17.48487592, X18.84264931, X19.28816983, X19.35823792, X19.61012985, X2.120332584, X2.143804014, X2.169384987, X2.35023959, X2.7685376, X3.132404356, X3.138906032, X3.57567476, X3.8973984, X4.145052114, X4.54970808, X5.49852963, X5.90299294, X6.35349370, X6.77212762, X7.111783510, X7.17022025, X7.39743481, X7.55899521, X8.111942169, X8.114055486, X8.75159575, X9.75916734, X9.78872401","Bgd_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_48, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_24, Bgd_Fe.600.MeV.n_48, FociPerGy_Fe.600.MeV.n_48, FociPerGy_X.ray_4, Bgd_X.ray_24, FociPerGy_X.ray_24, Bgd_X.ray_48, FociPerGy_X.ray_48","Bgd_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, FociPerGy_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_24, Bgd_Fe.600.MeV.n_4, FociPerGy_Fe.600.MeV.n_24, Bgd_X.ray_4"
Bgd_Fe.600.MeV.n_48,83,65,18,"X1.188051568, X1.37706705, X1.52472062, X10.101680788, X11.111752788, X11.29545002, X11.35282604, X11.65104565, X11.76607143, X11.89717074, X13.39979535, X14.107994347, X14.14739962, X14.48553214, X15.101084687, X15.101282904, X15.46986754, X15.57835483, X15.75750109, X15.87687859, X15.90137744, X16.42296668, X16.56920652, X16.57520520, X17.48487592, X18.84264931, X19.28816983, X19.35823792, X19.61012985, X2.120332584, X2.156938080, X2.179252771, X2.7685376, X21.73353417, X3.128520107, X3.132404356, X3.138906032, X3.57567476, X3.8973984, X4.107621608, X4.145052114, X4.84852632, X5.39076165, X5.49852963, X5.70537896, X5.90299294, X6.107382038, X6.108152079, X6.129932744, X6.35349370, X6.42782257, X6.77212762, X6.86286482, X7.106674593, X7.133996942, X7.17022025, X7.37333012, X7.39743481, X7.55899521, X8.45043434, X8.60115231, X8.75159575, X9.33592093, X9.72766774, X9.94131153","FociPerGy_Si.350.MeV.n_8, FociPerGy_Si.350.MeV.n_24, Bgd_Si.350.MeV.n_48, Bgd_Ar.350.MeV.n_4, Bgd_Ar.350.MeV.n_8, Bgd_Ar.350.MeV.n_24, FociPerGy_Ar.350.MeV.n_24, Bgd_Ar.350.MeV.n_48, FociPerGy_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_8, FociPerGy_Fe.600.MeV.n_8, Bgd_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_24, FociPerGy_Fe.600.MeV.n_48, FociPerGy_X.ray_4, Bgd_X.ray_24, Bgd_X.ray_48, FociPerGy_X.ray_48","Bgd_Si.350.MeV.n_4, FociPerGy_Si.350.MeV.n_4, Bgd_Si.350.MeV.n_8, Bgd_Si.350.MeV.n_24, FociPerGy_Si.350.MeV.n_48, FociPerGy_Ar.350.MeV.n_4, FociPerGy_Ar.350.MeV.n_8, FociPerGy_Ar.350.MeV.n_48, Bgd_Fe.600.MeV.n_4, Bgd_Fe.600.MeV.n_48, Bgd_X.ray_4, FociPerGy_X.ray_24"
